Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,438.988831,441.812073,437.676270,439.781311,417.988922,1367720
2015-01-02,439.880371,443.818054,437.998199,438.617340,416.882568,3383424
2015-01-05,438.344940,441.267212,432.946106,433.812897,412.316223,4662967
2015-01-06,430.915344,432.401276,412.093750,414.124512,393.603455,8596809
2015-01-07,414.619812,425.367950,414.570282,423.139069,402.171356,9562421
2015-01-08,426.011841,427.398682,416.130493,417.071564,396.404510,9171029
2015-01-09,420.216766,426.952911,418.532715,426.110901,404.995911,6180769
2015-01-12,426.209961,426.457611,416.848694,421.157837,400.288300,4661200
2015-01-13,422.495178,423.460999,416.303864,417.616425,396.922333,4591328
2015-01-14,417.542114,419.523346,411.697510,413.554901,393.062042,5251887
2015-01-15,416.056213,431.460175,416.056213,428.067352,406.855377,7811847
2015-01-16,425.962311,433.391876,422.024628,430.766754,409.421051,8831705
2015-01-19,431.014404,438.840240,425.343170,435.695038,414.105133,6156390
2015-01-20,436.611359,448.523438,435.298798,447.285187,425.120941,6166247
2015-01-21,448.251038,451.420990,441.836823,449.117798,426.862732,7884400
2015-01-22,448.325317,449.340698,435.620758,437.725800,416.035278,10947527
2015-01-23,440.821442,444.684845,434.382477,439.286011,417.518127,8344145
2015-01-27,442.257843,444.139984,436.116058,440.350922,418.530304,8279250
2015-01-28,438.889771,450.628479,438.889771,449.167328,426.909790,8906082
2015-01-29,449.291168,462.862518,449.192108,460.336456,437.525452,16668291
2015-01-30,460.633667,461.252777,450.232239,453.327911,430.864227,10036145
2015-02-02,453.724152,455.631073,448.597748,449.761719,427.474762,8908197
2015-02-03,452.312531,466.007721,452.312531,464.397980,441.385773,7888109
2015-02-04,465.140930,467.468872,458.602905,460.039276,437.242981,6494638
2015-02-05,463.605469,465.537170,454.491882,457.513245,434.842163,5706742
2015-02-06,457.711365,460.633667,447.260406,450.678009,428.345612,4174655
2015-02-09,446.368866,454.690002,441.812073,444.139984,422.131592,4079516
2015-02-10,444.783905,448.003387,426.606201,436.859009,415.211456,6299938
2015-02-11,438.840240,448.127197,437.354309,446.121216,424.014618,4513933
2015-02-12,449.736938,452.684021,439.459351,450.306549,427.992554,4019490
